Name,"Sub Category","Plan","AUM","Average YTM","% Away from ATH","% Other Holdings","% Sovereign Debt Holding","% Largecap Holding","% Midcap Holding","% Poorly Rated Bonds","% Corporate Debt Holding","% B Rated Bonds","% Concentration - Top 10 Holdings"
Tata Money Market Fund,"Money Market Fund","Growth","37476.465182824104","7.38","0.07","0","0.0679749273997039","0","0","0","0","0","29.195410630708487"
SBI Small Cap Fund,"Small Cap Fund","Growth","37140.7769","0","11.56","0","0","0","8.88879709998743","0","0","0","36.76962960890567"
SBI Savings Fund,"Money Market Fund","Growth","36291.4092","6.99","0.06","0","3.4402937982358606","0","0","0","0","0","34.396433963771244"
ICICI Pru India Opp Fund,"Thematic Fund","Growth","36082.9508233983","0","6.74","0","0","66.29360530150552","16.505546425925843","0","0","0","43.58731960968477"
Motilal Oswal Midcap Fund,"Mid Cap Fund","Growth","35734.975099999996","0","18.61","0","0","30.686878805184882","65.30996351526771","0","0","0","56.284089589305474"
HDFC Small Cap Fund,"Small Cap Fund","Growth","33724.283599999995","0","8.83","0","0","6.249831371308872","13.173409327947338","0","0","0","34.486469574421875"
Kotak Money Market Fund,"Money Market Fund","Growth","33699.9326","7.11","0.07","0","0.6161217070208623","0","0","0","0","0","25.27212235433373"
ICICI Pru Corp Bond Fund,"Corporate Bond Fund","Growth","32682.460154389","7.55","0.48","0","19.959611881065705","0","0","0","62.477367381591925","0","28.04340877860498"
ICICI Pru Equity-Arbitrage Fund,"Arbitrage Fund","Growth","32298.858054113203","6.18","0.09","0","0","44.492895308940874","15.363205385424086","0","0","0","42.15795269661539"
Axis Midcap Fund,"Mid Cap Fund","Growth","32276.3203","0","1.36","0","0","22.043077838089243","63.60003632446293","0","0","0","36.2522450956096"
ICICI Pru Money Market Fund,"Money Market Fund","Growth","31749.7191023403","7.11","0.09","0","11.021739810127526","0","0","0","0","0","31.26590917591663"
HDFC Corp Bond Fund,"Corporate Bond Fund","Growth","31610.591200000003","7.58","0.7","0","20.953856440369275","0","0","0","72.25684092868214","0","26.33290990141305"
Axis ELSS Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","31566.108799999998","0","7.99","0","0","75.79996918720622","19.41800572517826","0","0","0","38.766950857116726"
UTI Liquid Fund,"Liquid Fund","Growth","31183.9245","6.26","0","0","0","0","0","0","2.3255328238111916","0","27.534791844432572"
SBI ELSS Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","31093.895800000002","0","7.24","0","0","61.15427999858415","20.43107477063069","0","0","0","45.14767075279128"
Axis Large Cap Fund,"Large Cap Fund","Growth","30498.171299999998","0","9.9","0","0","85.4708160879141","1.4477947633535655","0","0","0","56.1236576535328"
Quant Small Cap Fund,"Small Cap Fund","Growth","30373.692400000004","0","6.73","0","0","21.51740234256143","8.77885725872432","0","0","0","43.46203295322762"
Kotak Large & Midcap Fund,"Large & Mid Cap Fund","Growth","30251.049300000002","0","6.76","0","0","53.864968908698295","35.04418737633674","0","0","0","31.326197666802905"
Aditya Birla SL Money Manager Fund,"Money Market Fund","Growth","30074.137799999997","7.3","0.1","0","10.156820854894136","0","0","0","0","0","24.86120217218663"
HDFC Money Market Fund,"Money Market Fund","Growth","29823.8789","7.23","0.07","0","0.8591028714242799","0","0","0","0","0","25.5480617579895"
ICICI Pru Large & Mid Cap Fund,"Large & Mid Cap Fund","Growth","29757.2282438275","0","6.62","0","0","37.142146134839024","42.05113056050708","0","0","0","38.25515873563022"
Aditya Birla SL Large Cap Fund,"Large Cap Fund","Growth","28969.9007","0","9.67","0","0.122639702386001","79.93752805649066","10.34687460975661","0","0","0","45.64103977063338"
ICICI Pru Dynamic Asset Allocation Active FOF,"FoFs (Domestic) - Hybrid","Growth","28311.0398913611","7.54","2.79","0","0","0","0","0","0","0","64.9945182890113"
HDFC Large and Mid Cap Fund,"Large & Mid Cap Fund","Growth","28255.3055","0","5.84","0","0","43.490525345762045","39.416673091713676","0","0","0","19.757906705344233"
UTI Nifty 50 Index Fund,"Index Fund","Growth","27848.7398","0","10.03","0","0","99.40719507889553","0.671894316740322","0","0","0","53.72609284101254"
ICICI Pru Savings Fund,"Low Duration Fund","Growth","27700.344816914803","7.46","0.13","0","8.387847210411676","0","0","0","42.24947659443421","0","21.99899402074922"
Tata Liquid Fund,"Liquid Fund","Growth","27400.4015335589","7.58","0","0","0.990044615469419","0","0","0","0.820778847801028","0","37.27998287721897"
Axis Small Cap Fund,"Small Cap Fund","Growth","27363.969399999998","0","2.92","0","0","5.559125778732962","15.884689726337735","0","0","0","29.9021056901197"
Invesco India Arbitrage Fund,"Arbitrage Fund","Growth","27320.6963","6.55","0.06","0","0","-0.1898293492614893","-0.059426377064914854","0","0.460180438373381","0","92.62281247202326"
SBI Overnight Fund,"Overnight Fund","Growth","27043.1983","5.24","0","0","0","0","0","0","0","0","100.02704931539107"
HDFC Focused Fund,"Focused Fund","Growth","26182.1506","0","9.39","0","0.193854205391363","72.10679973706976","6.28610279248796","0","0","0","58.03628598790509"
Aditya Birla SL Arbitrage Fund,"Arbitrage Fund","Growth","25678.5031","6.95","0.08","0","0","48.43960939452112","15.682889241312505","0","0.6819739426321931","0","40.075945470512984"
Bandhan Small Cap Fund,"Small Cap Fund","Growth","25345.789399999998","0","3.16","0","0","4.104700715043244","14.096872025836813","0","0","0","31.638297642648315"
Mirae Asset ELSS Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","25266.6735","0","5.48","0","0","53.746430055385","24.387180211910383","0","0","0","39.7409662969682"
