Name,"Sub Category","Plan","AUM","Average YTM","% Away from ATH","% A Rated Bonds","% Equity Holding","% Smallcap Holding","% Debt Holding","% Concentration - Top 3 Holdings","% Concentration - Top 5 Holdings","% Cash Holding"
ICICI Pru Regular Savings Fund,"Conservative Hybrid Fund","Growth","3288.9413907945","8.03","0.57","55.50039307812202","22.657828506332347","5.924678394859705","70.48686566713135","10.52666067473966","16.55024627448616","5.450276228583027"
Sundaram Multi Asset Allocation Fund,"Multi Asset Allocation Fund","Growth","3276.66795","6.5","5.79","0","69.0004351320076","7.6346254855855475","10.11808292328755","17.77299516986774","26.781698974526904","0.5507808451505689"
HDFC Hybrid Debt Fund,"Conservative Hybrid Fund","Growth","3261.0712","7.49","2.32","38.16894583595722","19.644315033661325","1.07508232264294","74.48077183963356","10.62711847567143","16.58304792609251","4.81045001409353"
Quant Large & Mid Cap Fund,"Large & Mid Cap Fund","Growth","3249.4649","0","7.21","0","95.53162429912692","4.797817634528073","5.202367319000738","33.82198404420369","51.25726392674681","-0.7339916181277015"
DSP Short Term Fund,"Short Duration Fund","Growth","3245.4344","7.63","0.46","80.49344026180287","0","0","0","14.211000536630781","21.893679317628482","0.28568132512554"
Bandhan Multi Asset Allocation Fund,"Multi Asset Allocation Fund","Growth","3240.2929","6.16","1.35","4.771102688576539","67.36462384540462","14.76942115845704","8.321815688706169","18.34617501461894","26.903345972670138","4.966426545663737"
Aditya Birla SL CRISIL-IBX Financial Services 3 to 6 Months Debt Index Fund,"Index Funds - Debt Oriented","Growth","3232.2718","6.81","0","92.80653316345492","0","0","0","32.05076380024728","42.137709458715726","7.19346683654512"
Franklin Build India Fund,"Sectoral Fund - Infrastructure","Growth","3213.952361822","0","4.03","0","94.30919697365042","20.63820747747398","0","19.64207318375191","31.04574869013764","5.69080302634961"
Motilal Oswal Large Cap Fund,"Large Cap Fund","Growth","3170.7534","0","8.54","0","96.69211424641225","15.805120637890047","0","23.161996767077504","31.124990672563815","-0.011858380408889868"
SBI Quant Fund,"Thematic Fund","Growth","3146.2065999999995","0","9.81","0","98.78956455052888","0","0","19.21250498934176","30.02851116007448","1.2104354494711176"
Edelweiss Greater China Equity Off-shore Fund,"FoFs (Overseas)","Growth","3143.4411","0","2.82","0","0","0","0","100.18672212436238","100","2.476982947127596"
DSP Healthcare Fund,"Sectoral Fund - Pharma & Health Care","Growth","3142.3571","0","0.79","0","96.76408515123885","36.70008096788236","0","24.658912890581412","38.42665430991278","2.3941995643970566"
Tata ST Bond Fund,"Short Duration Fund","Growth","3141.8457967230997","7.67","0.36","79.69685535208588","0","0","0","18.591918184184557","27.29962752769668","6.58409133060744"
HSBC Ultra Short Duration Fund,"Ultra Short Duration Fund","Growth","3117.8071","6.76","0.03","85.95907039919177","0","0","0","14.417280658575699","20.80830786484513","0.5084342774124901"
Tata Corp Bond Fund,"Corporate Bond Fund","Growth","3115.6172254489","7.86","0.54","77.97324443413491","0","0","0","12.16578201955133","19.13778289387822","5.03105793038649"
