name,mfId,slug,ret3m,ret6m,ret1y,ret3y,ret5y,ret10y,alpha,sharpe,sortino,stdDevAnn,catStdDevAnn,trackErr,pe,catPe,percEquityH,percMidcap,percLargecap,percSmallcap,percDebtH,percOtherH,aum,expRatio,age,navClose,exitLoad,benchmarkIndex,riskClassification,subsector
Axis Multi Asset Allocation Fund(M-IDCW),M_AXPV,/mutualfunds/axis-multi-asset-allocation-fundm-idcw-M_AXPV,0.188940210512416,-4.584412090465351,5.0528364742857415,6.243504505411046,3.017420440419216,6.342296334801367,3.5900000000000003,0.6937159937611357,0.0672,12.369416529489175,10.717063993328148,7.438794386189204,27.0485,23.354202884615404,63.930946702205716,13.778129559204528,42.21560024282341,7.355624443793565,14.929887904518868,0,2384.1193,1.44,,27.3088,1,NIFTY 500 - TRI,Very High,Multi Asset Allocation Fund
Axis Multi Asset Allocation Fund,M_AXPU,/mutualfunds/axis-multi-asset-allocation-fund-M_AXPU,1.8651270478590882,-1.4065835979266228,12.258977191248563,13.836101748702712,10.762980215856622,11.75961818974056,3.5900000000000003,0.6937159937611357,0.0672,12.369416529489175,10.717063993328148,7.438794386189204,27.0485,23.354202884615404,63.930946702205716,13.778129559204528,42.21560024282341,7.355624443793565,14.929887904518868,0,2384.1193,1.44,,52.1361,1,NIFTY 500 - TRI,Very High,Multi Asset Allocation Fund
Axis Multi Asset Allocation Fund(M-IDCW),M_AXIMU,/mutualfunds/axis-multi-asset-allocation-fundm-idcw-M_AXIMU,0.188940210512416,-4.584412090465351,5.0528364742857415,6.243504505411046,3.017420440419216,6.342296334801367,3.5900000000000003,0.6937159937611357,0.0672,12.369416529489175,10.717063993328148,7.438794386189204,27.0485,23.354202884615404,63.930946702205716,13.778129559204528,42.21560024282341,7.355624443793565,14.929887904518868,0,2384.1193,1.44,,27.3088,1,,Very High,Multi Asset Allocation Fund
Bajaj Finserv Multi Asset Allocation Fund(IDCW),M_BAJAM,/mutualfunds/bajaj-finserv-multi-asset-allocation-fundidcw-M_BAJAM,0.8195341004771248,-2.7144349440941022,11.898574200323965,,,,5.489999999999999,0.6857787398279419,0.0656,12.450376519607751,10.717063993328148,7.988052358366212,22.4769,23.354202884615404,67.29699692244428,9.912486148653212,44.998921378524,12.385589395267072,6.603801734133695,0,1875.449398,0.75,,12.5727,1,NIFTY 50 - TRI,Very High,Multi Asset Allocation Fund
Bajaj Finserv Multi Asset Allocation Fund(IDCW),M_BAJAT,/mutualfunds/bajaj-finserv-multi-asset-allocation-fundidcw-M_BAJAT,0.8195341004771248,-2.7144349440941022,11.898574200323965,,,,5.489999999999999,0.6857787398279419,0.0656,12.450376519607751,10.717063993328148,7.988052358366212,22.4769,23.354202884615404,67.29699692244428,9.912486148653212,44.998921378524,12.385589395267072,6.603801734133695,0,1875.449398,0.75,,12.5727,1,,Very High,Multi Asset Allocation Fund
Bajaj Finserv Multi Asset Allocation Fund,M_BAJAO,/mutualfunds/bajaj-finserv-multi-asset-allocation-fund-M_BAJAO,0.8195341004771248,-2.7144349440941022,11.898574200323965,,,,5.489999999999999,0.6857787398279419,0.0656,12.450376519607751,10.717063993328148,7.988052358366212,22.4769,23.354202884615404,67.29699692244428,9.912486148653212,44.998921378524,12.385589395267072,6.603801734133695,0,1875.449398,0.75,,12.5727,1,NIFTY 50 - TRI,Very High,Multi Asset Allocation Fund
Baroda BNP Paribas Multi Asset Fund(IDCW),M_BABM,/mutualfunds/baroda-bnp-paribas-multi-asset-fundidcw-M_BABM,0.09480001869296582,-7.323571044449532,0.45830066936019126,10.872801539794219,,,3.4099999999999997,0.5206838580175115,0.0525,11.963029128109655,10.717063993328148,6.778414858947481,25.5037,23.354202884615404,67.72112900679375,12.293516937120316,49.227396735312084,6.200215334361341,11.572051435825081,0,1446.6804000000002,0.93,,14.9931,1,NIFTY 500 - TRI,Very High,Multi Asset Allocation Fund
Baroda BNP Paribas Multi Asset Fund,M_BABL,/mutualfunds/baroda-bnp-paribas-multi-asset-fund-M_BABL,0.09445226596331492,1.1927068319400345,9.689935096638946,15.272609767389756,,,3.4299999999999997,0.5254462103774277,0.0528,11.963029128109655,10.717063993328148,6.778414858947481,25.5037,23.354202884615404,67.72112900679375,12.293516937120316,49.227396735312084,6.200215334361341,11.572051435825081,0,1446.6804000000002,0.93,,16.8498,1,NIFTY 500 - TRI,Very High,Multi Asset Allocation Fund
Baroda BNP Paribas Multi Asset Fund(IDCW),M_BASM,/mutualfunds/baroda-bnp-paribas-multi-asset-fundidcw-M_BASM,0.09480001869296582,-7.323571044449532,0.45830066936019126,10.872801539794219,,,3.4099999999999997,0.5206838580175115,0.0525,11.963029128109655,10.717063993328148,6.778414858947481,25.5037,23.354202884615404,67.72112900679375,12.293516937120316,49.227396735312084,6.200215334361341,11.572051435825081,0,1446.6804000000002,0.93,,14.9931,1,,Very High,Multi Asset Allocation Fund
Canara Rob Multi Asset Allocation Fund,M_CAUS,/mutualfunds/canara-rob-multi-asset-allocation-fund-M_CAUS,1.9945602901178663,0.896860986547082,10.728346456692911,,,,4.09,0.6302179622955855,0.0633,11.03754531949926,10.717063993328148,7.141941089087757,34.2932,23.354202884615404,72.56594370568973,17.59165993429882,48.99476961825772,5.979514153133211,10.656344800142657,0,1306.0041,0.95,,11.25,1,BSE 200 - TRI,Very High,Multi Asset Allocation Fund
Canara Rob Multi Asset Allocation Fund(IDCW),M_CAUI,/mutualfunds/canara-rob-multi-asset-allocation-fundidcw-M_CAUI,1.9927536231884118,0.9865470852017886,10.826771653543304,,,,4.130000000000001,0.6381552162287792,0.0648,11.053419827365648,10.717063993328148,7.1070171717817034,34.2932,23.354202884615404,72.56594370568973,17.59165993429882,48.99476961825772,5.979514153133211,10.656344800142657,0,1306.0041,0.95,,11.26,1,BSE 200 - TRI,Very High,Multi Asset Allocation Fund
Canara Rob Multi Asset Allocation Fund(IDCW),M_CAMS,/mutualfunds/canara-rob-multi-asset-allocation-fundidcw-M_CAMS,1.9927536231884118,0.9865470852017886,10.826771653543304,,,,4.130000000000001,0.6381552162287792,0.0648,11.053419827365648,10.717063993328148,7.1070171717817034,34.2932,23.354202884615404,72.56594370568973,17.59165993429882,48.99476961825772,5.979514153133211,10.656344800142657,0,1306.0041,0.95,,11.26,1,,Very High,Multi Asset Allocation Fund
Mahindra Manulife Multi Asset Allocation Fund,M_MAAO,/mutualfunds/mahindra-manulife-multi-asset-allocation-fund-M_MAAO,2.3408992960781423,1.7191281564349519,15.758471925448685,,,,5.42,1.1461394679531807,0.1145,10.23429522146005,10.717063993328148,7.803908067116116,24.8996,23.354202884615404,55.53742776053424,7.927114281087334,37.67627601890698,9.934037460539917,22.21419308229102,0,1151.6385,0.36,,14.2479,0.5,NIFTY 500 - TRI,Very High,Multi Asset Allocation Fund
Mahindra Manulife Multi Asset Allocation Fund(IDCW),M_MAAP,/mutualfunds/mahindra-manulife-multi-asset-allocation-fundidcw-M_MAAP,2.341382232367104,-2.0759678597516453,11.442893601456445,,,,5.42,1.1461394679531807,0.1146,10.23429522146005,10.717063993328148,7.803908067116116,24.8996,23.354202884615404,55.53742776053424,7.927114281087334,37.67627601890698,9.934037460539917,22.21419308229102,0,1151.6385,0.36,,13.4058,0.5,NIFTY 500 - TRI,Very High,Multi Asset Allocation Fund
Mahindra Manulife Multi Asset Allocation Fund(IDCW Payout),M_MAMI,/mutualfunds/mahindra-manulife-multi-asset-allocation-fundidcw-payout-M_MAMI,2.341382232367104,-2.0759678597516453,11.442893601456445,,,,5.42,1.1461394679531807,0.1146,10.23429522146005,10.717063993328148,7.803908067116116,24.8996,23.354202884615404,55.53742776053424,7.927114281087334,37.67627601890698,9.934037460539917,22.21419308229102,0,1151.6385,0.36,,13.4058,0.5,NIFTY 500 - TRI,Very High,Multi Asset Allocation Fund
Invesco India Multi Asset Allocation Fund(IDCW),M_INVIW,/mutualfunds/invesco-india-multi-asset-allocation-fundidcw-M_INVIW,1.4492753623188384,-0.4739336492891035,15.173674588665449,,,,5.2299999999999995,0.969932430636279,0.0949,11.37884723862659,10.717063993328148,8.94687263349602,20.0474,23.354202884615404,37.368821441197625,1.0119371590262365,36.34826997470271,0.00861430746867555,15.945642034271822,0,1127.1945,0.53,,12.6,1,NIFTY 200 - TRI,Very High,Multi Asset Allocation Fund
