Name,Ticker,"Sub-Sector","Market Cap","5Y Avg EBITDA Margin","Return on Equity","5Y Avg Net Profit Margin","EBITDA Margin","Return on Investment","5Y Avg Return on Equity","Return on Assets","5Y Avg Return on Assets","Net Profit Margin","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","Cost of Goods Sold","Cash Flow Margin","ROCE"
JMJ Fintech Ltd,JMJFIN,"Education Services","12.9792","26.14723990155256","26.42857142857142","14.27764411039875","56.61807580174927","11.58836689038031","9.346404279167924","13.723672009537683","5.638137888291858","30.204081632653057","4.714113705019476","44.32933936963718",,"-54.40233236151604","21.67544060425726"
Anna Infrastructures Ltd,ANNAINFRA,"Real Estate","12.9238","36.11323952759489","4.800768122899664","21.27618669207736","50.33557046979866","4.690431519699812","3.310716247751008","4.651162790697675","3.187129774510521","33.557046979865774","3.2104341839038613","24.179896710693",,"48.99328859060403","6.203703703703703"
White Organic Agro Ltd,WHITEORG,"FMCG - Foods","12.915","5.142977461811592","3.0706785493690925","3.3657719618582194","9.601969634796864","3.0418911872066676","5.095771135984573","2.837110712538719","3.0227765926899037","7.1399261386951025","5.349288399805013","-7.49076773006473","19.46","-18.342224045958147","4.049356969064992"
Link Pharmachem Ltd,LINKPH,"Commodity Chemicals","12.890968904000001","4.761414517083375","-7.8877512324611505","-0.047005067742635465","1.2099921935987408","-1.4099783080260442","1.9991715201018612","-4.224207961007322","0.9771373534775872","-4.059328649492595","4.590330312248517","3.5072141154817813","14.33","10.49960967993755","-4.754716981132095"
Sibar Auto Parts Ltd,SIBARAUT,"Auto Parts","12.889578","0.0007550657074514078","-7.2572038420490586","-5.426590246715579","0.6711409395973289","-3.700097370983417","-7.383812983151747","-2.97072957623415","-3.736293845984954","-3.0425055928411497","-2.2902561928324587","4.167203749975573","11.569999999999999","4.966442953020135","-3.321976149914796"
SI Capital & Financial Services Ltd,SICAPIT,"Tour & Travel Services","12.8775","-30.32021483713164","-22.683706070287542","-35.3440762167635","9.541984732824426","-7.282051282051282","-9.926951916048951","-8.78169449598021","-6.030147679382397","7.251908396946565","-5.530074986572933","-242.00402759974048",,"-259.32203389830505","1.948717948717949"
Prabhu Steel Industries Ltd,ZPRBHSTE,"Iron & Steel","12.852225","6.793793585959702","-5.055147058823532","2.466136062887302","5.065452475811044","-3.0303030303030325","6.057082692684782","-3.9145907473309625","3.374629253138437","2.9595902105862297","6.519011830594502","-9.228239639284446",,"-16.428033157498117","6.270903010033449"
ICICI Prudential Nifty PSU Bank ETF,PSUBNKIETF,"Equity","12.851369693",,,,,,,,,,,,,,
J J Finance Corporation Ltd,JJFINCOR,"Diversified Financials","12.81972","58.40691143737779","2.6422764227642284","38.25533131351669","56.410256410256416","2.57936507936508","2.593538505866186","2.6196473551637287","2.499653809918218","33.33333333333334","2.533597606270753","-30.218894707344347",,"-2.564102564102564","4.365079365079366"
ICICI Prudential Nifty Metal ETF,METALIETF,"Equity","12.81104955",,,,,,,,,,,,,,
Goenka Business & Finance Ltd,GBFL,"Diversified Financials","12.7920984","0.7065171070031929","-1.882878570288798","0.42442748320202206","-0.6273204455255343","-1.890419737263681","1.895211647209195","-0.30210706879336124","0.3528099930795016","-0.7553450262450325","1.8332845341571997","-0.9259858502086264",,"-1.6771220074254258","-1.6346153846153688"
