Name,Ticker,"Sub-Sector","Market Cap","1W Change in On Balance Volume","RSI – 14D","% Price above 1M EMA","Beta","Relative Volume","Volatility","% From Upper Bollinger Band","ADX Rating – Trend Strength","1W Change in AD Line","Stochastic %K","William %R"
Roopshri Resorts Ltd,ROOPSHRI,"Hotels, Resorts & Cruise Lines","49.2337164","575","100","41.12586019562845",,"1.5","22.818000723656603","-1.9026905834357999","99.9999999865316",,"100","0"
Netlink Solutions (India) Ltd,NETLINK,"IT Services & Consulting","49.231364625","-0.012226216423155497","29.9076212471132","-2.1359921686392225","1.18032066020681","0.19811456071304162","42.475665586468764","-11.1004084010211","28.1926244279252","6.402271487634261","22.074074074074122","-77.92592592592588"
Toss The Coin Ltd,TTC,"Oil & Gas - Refining & Marketing","49.1967","0","28.5714285714286","-4.240419687496355",,"0.7157738095238095","53.878773105747015","-5.7262730160755995","26.4578510862435","-50","14.604810996563577","-85.39518900343643"
Vedavaag Systems Ltd,VEDAVAAG,"Software Services","49.1340348","0.12461423000981091","48.6746987951807","-2.6546899831167647","1.75089985214175","0.9639598454820627","41.16123976131993","-11.022299500225701","26.6839273623283","-0.42840257640640994","16.785714285714302","-83.2142857142857"
Mohite Industries Ltd,MOHITE,"Textiles","49.043268","-4.403278272827968","42.0289855072464","-2.0792649943659147","0.367714927675057","0.8162035832442219","53.195445886460185","-8.0286468149282","24.2941212946696","-17.3487265190616","22.72727272727275","-77.27272727272725"
Superior Industrial Enterprises Ltd,SIEL,"Packaging","49.04285","1.960763396238492","57.9617834394904","4.703868391187749","0.19263291835672","0.28833853512220825","65.42080365341303","-2.3842220853009","19.4347454762502","-9.400096886982379","68.48101265822781","-31.51898734177218"
Nanavati Ventures Ltd,NVENTURES,"Precious Metals, Jewellery & Watches","48.91825","254.16666666666666","32.4","-2.0887424529356546","-0.709867138837761","1.576830249396621","66.84687116842768","-6.6700303195576005","32.1682996267474","88.56200110204401","10.493827160493764","-89.50617283950623"
Phoenix International Ltd,PHOENXINTL,"Footwear","48.89119872","-3.210501780547211","33.3021515434986","-6.565629394045114","1.2891457072113","1.3411301507814044","55.33272888966491","-13.972722964995398","23.2091476555379","-27.31797978097188","21.89189189189191","-78.10810810810808"
G.S. Auto International Ltd,GSAUTO,"Auto Parts","48.85607628","-4.059847063864119","18.7041564792176","-5.885762642519953","0.796718180174315","1.8339238281534342","41.87866187570327","-15.8476957909017","41.512434429727","-35.81338037588141","2.987197724039743","-97.01280227596025"
Aditya BSL Nifty Healthcare ETF,HEALTHY,"Equity","48.767278751999996","7.703738958961716","83.0065359477124","3.931105537174595","0.723440108529353","0.7580933734039018","14.241350954285267","-1.1254178069566","23.1942338084107","2.1288457411956854","78.4883720930232","-21.511627906976795"
3B Films Ltd,3BFILMS,"Plastic Products","48.751296","-2.941176470588235","26.8131868131868","-6.924818524819932",,"0.2584971803078799","61.007319545227105","-25.9736137860516","45.0715949136314",,"21.307189542483652","-78.69281045751634"
Sacheta Metals Ltd,SACHEMT,"Housewares","48.75","0.0004112340556468015","52.6315789473684","-0.5248356261817189","0.069102485167387","0.7939319337791131","52.23315378491348","-2.6510933471232","31.4799424256132","-0.28230364065614444","33.33333333333338","-66.66666666666661"
Mangalam Drugs and Organics Ltd,MANGALAM,"Pharmaceuticals","48.687690848","-0.003036442782762133","62.550881953867","2.4814227853437565","-0.012028258764642","0.6491582296676182","52.12479085368172","-2.8519497528038","26.3707175881422","254.43335819426963","76.15894039735103","-23.841059602648972"
Archies Ltd,ARCHIES,"Retail - Speciality","48.60942","0.048743779144188565","47.5465313028765","-2.8736988869537905","1.62758095540745","0.7547101444506731","45.613257544136474","-10.3883578608041","17.2402618120737","-0.42255175636548814","12.5","-87.5"
Wires and Fabriks (SA) Ltd,WIREFABR,"Industrial Machinery","48.472125","-0.05386212125606467","56.7990373044525","-0.1284918829307924","0.156979651857158","0.1100336837807492","56.777972376556555","-6.810083491425099","24.2035245576936",,"29.815303430079158","-70.18469656992085"
Smiths & Founders (India) Ltd,SMFIL,"Iron & Steel","48.448349375","-0.4529316710111936","46.9945355191257","-0.8138140086842327","3.39799479171901","0.3799840468521155","49.08619963693552","-9.9153374581904","36.3980061737426","-5.305300217286727","49.48453608247424","-50.51546391752576"
Mac Hotels Ltd,MACH,"Hotels, Resorts & Cruise Lines","48.4290768","35","100","4.137424267526413","0.861170001138474","0.8","88.9837669868612","-4.0520799214684","48.0743293658909",,"77.87979966611015","-22.120200333889855"
