Name,Ticker,"Sub-Sector","Market Cap","Expense Ratio","Tracking Error","EBITDA","Net Income","Payout Ratio","Earnings Per Share","Taxes & Other Items","Dividend Per Share","PBIT","Interest & Other Items","Total Revenue","Depreciation & Amortization","PBT","Power & Fuel Cost","Raw Materials"
LTM Ltd,LTM,"IT Services & Consulting","122876.9126031",,,"8121.5","5018.099999999999","0.4427499633825552","169.395835579543","1772.9999999999998","75","7067.4","276.3","43402","1054.1","6791.099999999999","97.4","0"
Union Bank of India Ltd,UNIONBANK,"Public Banks","121374.3291513",,,"24284.499999999985","18780.619999999984","0.19646365422396858","25.45","5503.88","5","24284.499999999985",,"128399.51","0","24284.499999999985",,
GE Vernova T&D India Ltd,GVT&D,"Heavy Electrical Equipments","119814.4155879",,,"1710.8999999999996","1233.2499999999995","0","48.16","416.47","0","1664.4699999999996","14.75","6297.15","46.43","1649.7199999999996",,
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","119608.76216232",,,"2936.4900000000007","1542.3000000000006","0.6415938332360757","15.586184719952694","630.48","10","2309.810000000001","137.03","20546.11","626.68","2172.7800000000007","161.95","10319.26"
Punjab National Bank,PNB,"Public Banks","117480.86608549599",,,"27081.660000000003","17021.760000000002","0.1875","16","10059.9","3","27081.660000000003",,"149463.3","0","27081.660000000003",,
Billionbrains Garage Ventures Ltd,GROWW,"Investment Banking & Brokerage","116711.2249797",,,"2869.29","2083.01","0","3.47","738.41","0","2821.42",,"4815.88","47.87","2821.42",,
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","116502.046268",,,"10088.550000000001","9636.750000000002","0.22519921468991802","865.9","419.89","195","10056.640000000001",,"10251.52","31.91","10056.640000000001",,
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","116156.43515745",,,"3986.5999999999985","1941.699999999999","0.1481042654028436","135.04","719.1999999999999","20","3110.4999999999986","449.6","25465","876.1","2660.8999999999987",,
Canara Bank Ltd,CANBK,"Public Banks","115795.93398516001",,,"22848.429999999993","17112.519999999993","0.19328117809479983","21.73","5735.91","4.2","22848.429999999993",,"153083.22","0","22848.429999999993",,
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","115056.59313606001",,,"3782.0499999999997","2858.0599999999995","0.8087464430133294","66.77","851.09","54","3709.1499999999996",,"4622.2","72.9","3709.1499999999996",,
Cipla Ltd,CIPLA,"Pharmaceuticals","113051.6864127",,,"6489","3879.23","0.2706641682281907","48.03","1344.4","13","5278.02","54.39","29044.6","1210.98","5223.63",,
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","112832.16576414",,,"18290.199999999997","7144.899999999998","0.5167958656330749","27.09","2452.9","14","11149.399999999998","1551.6","32970.1","7140.8","9597.799999999997",,
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","110073.47550505",,,"7825.299999999999","4195.999999999999","0.15869867089863124","50.41","1196.6999999999998","8","5766.499999999999","373.8","35072","2058.8","5392.699999999999",,
Indian Bank,INDIANB,"Public Banks","109131.02174062",,,"15734.949999999997","11457.909999999996","0.21003567729312925","86.89","4277.04","18.25","15734.949999999997",,"78332.7","0","15734.949999999997",,
Marico Ltd,MARICO,"FMCG - Personal Products","108646.582831425",,,"2532","1762","0.2936857562408223","13.62","515","4","2330","53","13815","202","2277",,
Bosch Ltd,BOSCHLTD,"Auto Parts","108625.07612",,,"3125.0000000000005","2015.2000000000007","0.7493421834061134","683.2659515746448","717.1","512","2749.4000000000005","17.1","18902.7","375.6","2732.3000000000006","116","11494.8"
Ambuja Cements Ltd,AMBUJACEM,"Cement","106909.25942765",,,"7092.790000000001","4728.18","0.10498687664041995","19.05","-1429.4099999999999","2","3522.380000000001","223.61","41510.07","3570.41","3298.770000000001",,
Mankind Pharma Ltd,MANKIND,"Pharmaceuticals","106691.608188",,,"3858.1400000000012","1912.9300000000012","0","46.35","419.75","0","2971.9600000000014","639.28","14648.12","886.18","2332.680000000001",,
Zydus Lifesciences Ltd,ZYDUSLIFE,"Pharmaceuticals","104733.86484915",,,"8468","5040","0.019964064683569573","50.09","1581.1000000000001","1","7060","438.9","27657.9","1408","6621.1",,
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","104691.83438273",,,"1930.81","1075.8799999999999","0.13552076864984944","11.068414199122582","330.49","1.5","1571.3899999999999","165.02","7184.1","359.42","1406.37","115.03","1496.41"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","104667.68819049001",,,"3189.26","1861.4700000000003","1.0995052226498074","18.19","728.69","20","2921.7300000000005","331.57","15444.07","267.53","2590.1600000000003",,
Lupin Ltd,LUPIN,"Pharmaceuticals","104496.68548865",,,"8682.54","5332.840000000001","0.1401323472168159","128.45","1539.71","18","7307.040000000001","434.49","28382.48","1375.5","6872.550000000001",,
LG Electronics India Ltd,LGEINDIA,"Home Electronics & Appliances","103438.12481688001",,,"3378.609999999999","2203.3399999999992","0","32.460660244413695","759.76","0","2998.249999999999","35.15","24630.63","380.36","2963.099999999999","91.98","16713.49"
Gail (India) Ltd,GAIL,"Gas Distribution","102334.539563652",,,"20642.73000000001","12449.80000000001","0.3960967029390027","18.93477008101976","3645.71","7.5","16843.50000000001","747.99","147124.42","3799.23","16095.510000000011","4380.87","116030.49"
GMR Airports Ltd (India),GMRAIRPORT,"Construction & Engineering","99782.3227464",,,"4979.789999999999","-392.8500000000013","0","-0.4734581076056364","-242.46","0","3069.3599999999988","3704.67","11628.1","1910.43","-635.3100000000013","0","327.79"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","99406.1715984",,,"8368.839999999997","5741.729999999996","0.6445768440124038","287.01","1693.85","185","7513.849999999997","78.27","48853.95","854.99","7435.579999999996",,
Mazagon Dock Shipbuilders Ltd,MAZDOCK,"Shipbuilding","98335.9764",,,"3405.029999999999","2583.3799999999987","0.282948157401624","64.04","653.41","18.12","3308.3599999999988","71.57","14145.71","96.67","3236.7899999999986",,
JSW Energy Ltd,JSWENERGY,"Power Generation","94324.56035628001",,,"10987.54","2239.310000000001","0.15600624024961","12.82","-253.49000000000012","2","7802.27","5816.45","19889.45","3185.27","1985.8200000000006",,
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines","93889.58969292",,,"3752.370000000001","2084.380000000001","0.22199453551912568","14.64","841.4799999999999","3.25","3147.210000000001","221.35","10246.94","605.16","2925.860000000001",,
United Spirits Ltd,UNITDSPR,"Alcoholic Beverages","93435.49057638",,,"2795","1838","0.4248744689069139","25.89","510","11","2506","158","13074","289","2348",,
Lloyds Metals and Energy Ltd,LLOYDSME,"Mining - Iron Ore","93097.43480544",,,"6354.499999999998","3680.8499999999985","0.014405070584845865","69.42","1556.13","1","5747.339999999998","510.36","17327.01","607.16","5236.979999999999",,
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","92540.97404838",,,"5577.869999999995","3764.4899999999952","0","14.41","1506.75","0","5271.239999999995",,"46068.84","306.63","5271.239999999995",,
Bharat Forge Ltd,BHARATFORG,"Iron & Steel","90272.69549424",,,"2961.4500000000007","1079.6600000000008","0.3764393268379097","22.58","587.52","8.5","1990.5300000000007","323.35","17010.34","970.92","1667.1800000000007",,
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","90228.27977327199",,,"9613.189999999999","3106.7999999999993","0.5907258425067595","5.290102066195354","1489.53","3.125","8526.539999999999","3930.21","49976.21","1086.65","4596.329999999999","316.82","29417.97"
Ntpc Green Energy Ltd,NTPCGREEN,"Renewable Energy","89260.110183717",,,"2177.2099999999996","475.47999999999956","0","0.6722493893467965","177.14999999999998","0","1418.9599999999996","766.33","2467.1099999999997","758.25","652.6299999999995","9.21",
Meesho Ltd,MEESHO,"Retail - Online","89075.353873545",,,"-1153.4899999999998","-1357.7399999999998","0","-3.11","148.47","0","-1200.3099999999997","8.96","13099.06","46.82","-1209.2699999999998",,
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","89050.6648464",,,"3658.930000000004","2771.940000000004","0.24219590958019374","55.74","886.99","13.5","3658.930000000004",,"27088.18","0","3658.930000000004",,
Shree Cement Ltd,SHREECEM,"Cement","88109.186616",,,"5298.689999999999","1743.5599999999988","0.31040476781723364","483.24","549.45","150","2504.7299999999987","211.72","21604.3","2793.96","2293.009999999999",,
Lodha Developers Ltd,LODHA,"Real Estate","87912.182864",,,"5373.4000000000015","3428.200000000002","0.12376237623762375","34.34","943.0999999999999","4.25","5028.000000000002","656.7","17128.7","345.4","4371.300000000002",,
REC Ltd,RECLTD,"Specialized Finance","87686.3592",,,"20793.379999999997","16308.169999999998","0.3001132502831257","61.81","4458.16","18.55","20766.329999999998",,"59628.35","27.05","20766.329999999998",,
Multi Commodity Exchange of India Ltd,MCX,"Stock Exchanges & Ratings","87596.1143553",,,"1768.73","1331.5500000000002","0.15319800842589046","52.22","358.78","8","1690.69","0.36","2429.05","78.04","1690.3300000000002",,
