Name,Ticker,"Sub-Sector","Market Cap","1M Average Volume","1M Return","1Y Return vs Nifty","Daily Volume","Close Price","1M Return vs Nifty","1W Change in Volume","3M Average Volume","1W Return","6M Return vs Nifty","1D Return","% Away From 52W High","6M Return","1Y Return","1W Return vs Nifty","1D Change in Volume","% Away From 52W Low","5Y CAGR","Face value"
Western India Plywoods Ltd,WIPL,"Wood Products","120.37594322000001","1255.5454545454545","-6.758267043586877","-3.057583553907338","541","141.83","-3.861265830774163","-13.44","1689.4827586206898","-7.300653594771233","-4.125466767916164","-1.95631135075348","36.21941761263483","-13.796875949674826","-7.209682695453047","-8.353078357505835","-47.526673132880696","6.558978211870792","19.685964203078775","10"
AAA Technologies Ltd,AAATECH,"IT Services & Consulting","120.1999428","30728.636363636364","-10.239463601532577","14.99903550303138","13232","93.71","-7.342462388719863","30.00589506779328","33594.517857142855","-5.410315938225497","13.459204064912928","-1.8229439497119004","45.12858819763099","3.7877948831542665","10.846936361485671","-6.462740700960099","6.882067851373183","23.124425174090124","26.152184398289414","10"
Rts Power Corporation Ltd,RTSPOWR,"Heavy Electrical Equipments","120.199035","6784.454545454545","-11.693303661743885","-25.174046411014942","5679","131.1","-8.79630244893117","55.37619699042408","6980.551724137931","-11.460446247464516","-0.5340702702961355","2.622309197651659","51.029748283752866","-10.205479452054798","-29.32614555256065","-12.512871010199119","-34.125971465027256","63.87499999999999","23.544342400215523","10"
Udayshivakumar Infra Ltd,USK,"Construction & Engineering","120.01428385599999","14444.545454545454","-14.612051988972041","-38.98978389018784","13686","21.68","-11.715050776159327","50.76007931262392","56230.07142857143","-3.429844097995544","-4.05720203988877","-0.5048187241854035","104.24354243542436","-13.728611221647432","-43.14188303173355","-4.482268860730146","-58.402480167776055","14.285714285714302",,"10"
Rajshree Polypack Ltd,RPPL,"Plastic Products","119.681328","53649.09090909091","-4.558910597986972","-34.156358569897066","20585","16.12","-1.661909385174258","113.44877644131066","94488.18965517242","-8.148148148148147","-0.9716063393056302","0","82.00992555831263","-10.643015521064292","-38.30845771144278","-9.20057291088275","-22.97474275023386","13.12280701754387","-2.483575502758062","5"
Urban Enviro Waste Management Ltd,URBAN,"Water Management","119.4647","23272.727272727272","-0.7196833393306945","-19.10242102535277","57600","137.95","2.1773178734820196","89.47368421052632","22703.44827586207","-7.416107382550344","-5.305478337501745","3.6828260052611625","40.23196810438565","-14.976887519260407","-23.254520166898477","-8.468532145284946","132.25806451612902","21.008771929824555",,"10"
V R Infraspace Ltd,VR,"Real Estate","119.436","1314.2857142857142","-8.813559322033898","-27.763871498798512","2000","134.5","-5.916558109221183","66.66666666666667","957.1428571428571","-4.980572235959032","-17.625888115538636","0","79.88847583643121","-27.2972972972973","-31.91597064034422","-6.032996998693634","0","7.600000000000007",,"10"
Optimus Finance Ltd,OPTIFIN,"Specialized Finance","119.407354","151345.81818181818","20.61776061776062","-20.789187847651093","255145","15.98","23.514761830573335","917.7303550059833","120202.68965517242","33.84747215081405","15.992101131193134","-0.31191515907673556","81.47684605757195","6.320691949434472","-24.9412869891968","32.795047388079446","-78.74756881249766","43.189964157706086","48.5377702395164","1"
LA Tim Metal & Industries Ltd,LATIMMETAL,"Real Estate","119.35677645","88872.31818181818","-15.01416430594901","-0.5039855145389422","24700","9.01","-12.117163093136295","-72.81143020683126","94361.55172413793","-6.05427974947808","-12.723078329007915","3.682393555811281","49.83351831298557","-22.394487510766577","-4.656084656084651","-7.106704512212682","-47.582869997028986","24.96532593619971","7.417947132681624","1"
Steel City Securities Ltd,STEELCITY,"Investment Banking & Brokerage","119.24030083499999","5906.181818181818","-7.250293772032888","-21.08942387417696","8250","78.93","-4.353292559220174","84.02855230872184","9163.775862068966","-3.4967599951094255","-7.808988099997741","-0.012667848999228407","48.105916634993015","-17.480397281756403","-25.241523015722667","-4.549184757844028","222.3915592028136","10.763401627841706","15.083502012548422","10"
Forge Auto International Ltd,FORGEAUTO,"Auto Parts","119.028","16800","16.577540106951872","43.895688885135456","12000","109","19.474541319764587","11.11111111111111","15654.545454545454","10.65989847715736","-6.579071033377723","0","61.00917431192661","-16.250480215136385","39.743589743589745","9.607473714422758","0","59.240321402483566",,"10"
Vishwaraj Sugar Industries Ltd,VISHWARAJ,"Sugar","118.9339242","241146.81818181818","-14.420062695924765","-39.84790085845429","96719","5.46","-11.52306148311205","52.34697413602999","523758.9655172414","-0.3649635036496434","-15.738426883815112","2.056074766355146","102.93040293040292","-25.409836065573774","-44","-1.4173882663842456","-12.482581392402773","31.8840579710145","-27.117103585558745","2"
Krebs Biochemicals and Industries Ltd,KREBSBIO,"Pharmaceuticals","118.928192376","2812.3636363636365","-11.032258064516135","-22.555315155557675","16230","55.16","-8.13525685170342","22759.154929577464","18627.620689655174","-4.896551724137937","-8.403743053500513","-4.74874805733034","105.76504713560553","-18.075152235259175","-26.707414297103384","-5.948976486872539","34431.914893617024","43.908165927471956","-15.395533097268599","10"
Sampre Nutritions Ltd,SAMPRE,"FMCG - Foods","118.666132337","694986.0909090909","-27.214452214452216","95.42315580310772","30073","12.49","-24.3174510016395","-91.33360422124049","479441.5862068966","-16.73333333333333","-50.29653953619006","-4.946727549467277","238.9111289031225","-59.96794871794872","91.27105666156201","-17.785758096067934","-81.02685753581952","116.84027777777777","25.386701712272554","5"
Scoobee Day Garments (India) Ltd,SCOOBEEDAY,"Apparel & Accessories","118.60939628","1239.3636363636363","0.892343120322381","-24.69483549101621","1098","70.1","3.789344333135095","28.121353558926486","1405.578947368421","1.432498914773542","-3.945349906349792","-2.571230020847823","74.96433666191157","-13.616759088108454","-28.84693463256192","0.3800741520389399","-50.068212824010914","13.155770782889409","-6.856556453267593","10"
Puretrop Fruits Ltd,PURETROP,"Agro Products","118.57450852000001","26050.363636363636","0.7407407407407407","47.50758086912045","16466","172.6","3.637741953553455","-48.98060358183058","24179.155172413793","-1.1627906976744187","12.34838717105075","-1.230329041487843","15.874855156431057","2.676977989292088","43.35548172757474","-2.215215460409021","-53.28529278256922","61.1577964519141","14.94986565319305","10"
Jocil Ltd,JOCIL,"Commodity Chemicals","118.57223365","3474.8636363636365","12.818996112895036","-17.20620915791828","634","133.51","15.71599732570775","-61.80722891566265","5299.758620689655","-5.846262341325825","-0.2408715199957232","-0.13463983843219898","33.17354505280505","-9.912280701754385","-21.35830829946399","-6.898687104060427","-77.63668430335098","46.312328767123276","-5.022846829161354","10"
Iconik Sports and Events Ltd,ICONIKSPEV,"IT Services & Consulting","118.311632","27604.909090909092","-10.025706940874034","104.2665811106356","12605","34.96","-7.12870572806132","-17.770239415486987","38530.05172413793","-5.405405405405405","-40.35003470673312","1.0112684195319313","160.38329519450804","-50.02144388849178","100.1144819690899","-6.457830168140007","-34.945293146160196","100.11448196908988","15.99290818024568","10"
