Name,Ticker,"Sub-Sector","Market Cap","Percentage Buy Reco’s","Percentage Upside","No. of analysts with buy reco","Percentage Sell Reco's","Percentage Hold Reco's","Total no. of analysts"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","149904.2542848","80.76923076923077","4.082001264336679","21","0","19.23076923076923","26"
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","149674.14","66.66666666666667","-8.510047226595056","14","14.285714285714286","19.047619047619047","21"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","148147.37965488","77.77777777777777","13.355317394888711","14","11.11111111111111","11.11111111111111","18"
Vodafone Idea Ltd,IDEA,"Telecom Services","147129.84153135802","29.41176470588235","-18.998527245949926","5","23.529411764705884","47.05882352941177","17"
Trent Ltd,TRENT,"Retail - Apparel","145746.30413539","78.26086956521739","17.758969730969056","18","4.3478260869565215","17.391304347826086","23"
Hyundai Motor India Ltd,HYUNDAI,"Four Wheelers","145233.596214","92","24.06288463690276","23","4","4","25"
DLF Ltd,DLF,"Real Estate","144384.93181098","100","38.00788616492372","22","0","0","22"
Bharat Heavy Electricals Ltd,BHEL,"Heavy Electrical Equipments","142207.4674182","62.5","-13.809990205680702","10","31.25","6.25","16"
Power Finance Corporation Ltd,PFC,"Specialized Finance","141689.8690656","100","20.531035285897282","14","0","0","14"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","141015.4034801","70.27027027027027","11.118832522585128","26","13.513513513513514","16.216216216216218","37"
ABB India Ltd,ABB,"Heavy Electrical Equipments","139965.4816875","27.272727272727273","-1.4155942467827403","6","36.36363636363637","36.36363636363637","22"
Tata Motors Ltd,TMCV,"Trucks & Buses","139818.12223281","81.81818181818181","21.80668949170398","18","0","18.181818181818183","22"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","139191.283180127","85.71428571428571","5.92418854505562","18","9.523809523809524","4.761904761904762","21"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","138497.5204452","70.96774193548387","4.174366778997717","22","3.225806451612903","25.806451612903224","31"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","136291.25022754498","78.125","18.952760387023332","25","3.125","18.75","32"
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","134383.227270925","73.33333333333333","5.479050688543803","11","13.333333333333334","13.333333333333334","15"
Tata Motors Passenger Vehicles Ltd,TMPV,"Four Wheelers","133027.987495","44","3.2525951557093427","11","24","32","25"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","132857.96276268","55","18.605143081618465","11","15","30","20"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","132127.29026845","54.166666666666664","4.353083434099154","13","16.666666666666668","29.166666666666668","24"
Siemens Ltd,SIEMENS,"Conglomerates","131636.3834682","61.904761904761905","-8.018612704252789","13","4.761904761904762","33.333333333333336","21"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","130536.99476802","94.11764705882354","25.599074533135013","32","0","5.882352941176471","34"
Vedanta Ltd,VEDL,"Metals - Diversified","130322.7578055","71.42857142857143","-5.168539325842697","10","7.142857142857143","21.428571428571427","14"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","129459.55326788999","79.41176470588235","21.798670090196847","27","2.9411764705882355","17.647058823529413","34"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","128732.0607972","70.58823529411765","17.120404153802976","24","5.882352941176471","23.529411764705884","34"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","127443.59871","62.06896551724138","24.25531914893617","18","17.24137931034483","20.689655172413794","29"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","126934.398778","0","-38.227118295068465","0","100","0","1"
Tata Capital Ltd,TATACAP,"Consumer Finance","126753.78394476001","100","31.40385894876912","10","0","0","10"
Jindal Steel Ltd,JINDALSTEL,"Iron & Steel","124448.96914407","75.86206896551724","8.00425149211022","22","6.896551724137931","17.24137931034483","29"
Siemens Energy India Ltd,ENRIN,"Power Generation","123203.4499098","50","-5.364782055728984","6","25","25","12"
LTM Ltd,LTM,"IT Services & Consulting","122876.9126031","57.142857142857146","16.340815833936762","20","8.571428571428571","34.285714285714285","35"
Union Bank of India Ltd,UNIONBANK,"Public Banks","121374.3291513","69.23076923076923","25.78616352201258","9","0","30.76923076923077","13"
GE Vernova T&D India Ltd,GVT&D,"Heavy Electrical Equipments","119814.4155879","75","2.577253494037705","9","8.333333333333334","16.666666666666668","12"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","119608.76216232","82.14285714285714","11.690245718540577","23","3.5714285714285716","14.285714285714286","28"
Punjab National Bank,PNB,"Public Banks","117480.86608549599","64.28571428571429","19.350420661318726","9","14.285714285714286","21.428571428571427","14"
Billionbrains Garage Ventures Ltd,GROWW,"Investment Banking & Brokerage","116711.2249797","77.77777777777777","16.71087533156499","7","11.11111111111111","11.11111111111111","9"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","116502.046268","100","37.046236148261364","1","0","0","1"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","116156.43515745","92.85714285714286","11.406820573126199","26","3.5714285714285716","3.5714285714285716","28"
Canara Bank Ltd,CANBK,"Public Banks","115795.93398516001","88.88888888888889","21.41626194579352","16","5.555555555555555","5.555555555555555","18"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","115056.59313606001","89.28571428571429","14.568204669869282","25","0","10.714285714285714","28"
Cipla Ltd,CIPLA,"Pharmaceuticals","113051.6864127","62.857142857142854","6.46659521257592","22","11.428571428571429","25.714285714285715","35"
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","112832.16576414","54.54545454545455","3.07350707023489","12","18.181818181818183","27.272727272727273","22"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","110073.47550505","51.515151515151516","-0.7489220062031992","17","18.181818181818183","30.303030303030305","33"
Indian Bank,INDIANB,"Public Banks","109131.02174062","83.33333333333333","23.426314490249315","10","0","16.666666666666668","12"
Marico Ltd,MARICO,"FMCG - Personal Products","108646.582831425","94.5945945945946","7.34092671000059","35","0","5.405405405405405","37"
Bosch Ltd,BOSCHLTD,"Auto Parts","108625.07612","50","2.2576703774097204","2","25","25","4"
Ambuja Cements Ltd,AMBUJACEM,"Cement","106909.25942765","67.5","19.697850087158628","27","5","27.5","40"
Mankind Pharma Ltd,MANKIND,"Pharmaceuticals","106691.608188","88.23529411764706","0.6230891288362518","15","5.882352941176471","5.882352941176471","17"
Zydus Lifesciences Ltd,ZYDUSLIFE,"Pharmaceuticals","104733.86484915","51.851851851851855","0.8790892059374638","14","11.11111111111111","37.03703703703704","27"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","104691.83438273","86.95652173913044","12.949707167425858","20","4.3478260869565215","8.695652173913043","23"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","104667.68819049001","85.29411764705883","25.476586176556854","29","0","14.705882352941176","34"
Lupin Ltd,LUPIN,"Pharmaceuticals","104496.68548865","54.285714285714285","10.041566396849705","19","14.285714285714286","31.428571428571427","35"
LG Electronics India Ltd,LGEINDIA,"Home Electronics & Appliances","103438.12481688001","100","17.85550232954918","24","0","0","24"
Gail (India) Ltd,GAIL,"Gas Distribution","102334.539563652","83.33333333333333","18.864045232588033","25","3.3333333333333335","13.333333333333334","30"
GMR Airports Ltd (India),GMRAIRPORT,"Construction & Engineering","99782.3227464","85.71428571428571","21.693121693121693","6","0","14.285714285714286","7"
