Name,Ticker,"Sub-Sector","Market Cap","Operating & Other expenses","Employee Cost","Selling & Administrative Expenses","Net Income (Q)","Total revenue (Q)","EPS (Q)","EBITDA (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)"
Investment & Precision Castings Ltd,INVPRECQ,"Auto Parts","626.55","158.08",,,"3.7600000000000016","51.45","3.77","9.490000000000002","41.96","7.170000000000002","5.500000000000002"
Commercial Syn Bags Ltd,COMSYN,"Packaging","626.4274368","18.339999999999993","58.33","29.67","5.999999999999995","97.63","1.5","12.239999999999995","85.39","9.509999999999994","7.349999999999994"
Utssav CZ Gold Jewels Ltd,UTSSAV,"Precious Metals, Jewellery & Watches","626.0369","-53.26000000000003","2.04","4.23",,,,,,,
Snowman Logistics Ltd,SNOWMAN,"Logistics","625.744541275","516.24",,,"5.539999999999993","143.38","0.33","24.849999999999994","118.53","7.569999999999993","0.9199999999999928"
Visaka Industries Ltd,VISAKAIND,"Cement","625.74327192","1538.48",,,"40.019999999999996","504.19","4.63","75.32","428.87","58.60999999999999","51.099999999999994"
Polo Queen Industrial and Fintech Ltd,PQIF,"FMCG - Household Products","625.50225","3.1599999999999957","4.58","6.37","0.7900000000000007","16.94","0.02","1.5500000000000007","15.39","1.4800000000000006","1.1300000000000008"
Pyramid Technoplast Ltd,PYRAMID,"Plastic Products","624.605904","624.86",,,"10.020000000000012","195.53","2.8","20.27000000000001","175.26","16.66000000000001","14.370000000000012"
S Chand and Company Ltd,SCHAND,"Education Services","621.742928384","43.83999999999998","174.43","312.36","-27.849999999999987","106.34","-7.9","-25.94999999999999","132.29","-36.889999999999986","-40.429999999999986"
Dish TV India Ltd,DISHTV,"Cable & D2H","618.662067744","865.4099999999999","148.15","341.51","-276.2299999999999","304.72","-1.44","-105.86999999999995","410.59","-207.82999999999993","-276.2299999999999"
Sunlite Recycling Industries Ltd,SUNLITE,"Cables","618.0878149600001","2730.15",,,,,,,,,
Panchmahal Steel Ltd,PANCHMAHQ,"Iron & Steel","617.56550973","5.000000000000025","20.68","9.23","1.2199999999999984","98.77","0.64","5.079999999999998","93.69","3.0799999999999983","1.6399999999999983"
Indo Farm Equipment Ltd,INDOFARM,"Agricultural & Farm Machinery","616.6461828","-6.860000000000017","45.76","45.3","5.560000000000002","107.63","1.16","15.280000000000001","92.35","12.240000000000002","7.860000000000002"
KSE Ltd,KSE,"Agro Products","612.64","1571.1",,,"-3.739999999999978","412.54","-1.17","-1.8999999999999773","414.44","-4.039999999999978","-4.689999999999978"
Nahar Poly Films Ltd,NAHARPOLY,"Textiles","612.2409759","11.870000000000005","28.18","55.4","19.340000000000007","179.11","7.85","32.02000000000001","147.09","23.85000000000001","21.980000000000008"
Laxmi India Finance Ltd,LAXMIINDIA,"Specialized Finance","610.331976375","251.25000000000003",,,"20.50999999999999","93.46","4.06","27.75999999999999","65.7","27.06999999999999","27.06999999999999"
CWD Limited,CWD,"Home Electronics & Appliances","606.3137535","5.4399999999999995","5.76","1.98","-2.5300000000000002","5.59","-1.4","-0.6100000000000003","6.2","-2.12","-2.5300000000000002"
Kinetic Engineering Ltd,KINETICENG,"Auto Parts","606.30688023","29.410000000000036","22.4","6","0.19999999999999746","39.22","0.09","2.8699999999999974","36.35","1.3299999999999974","0.14999999999999747"
Sukhjit Starch and Chemicals Ltd,SUKHJITS,"Agro Products","604.290204","35.79000000000007","66.37","51.23","3.13","348.72","1","21.25","327.47","12.2","4.18"
Best Agrolife Ltd,BESTAGRO,"Diversified Chemicals","604.0048833","1035.21","107.26","165.68","-12.740000000000009","204.2","-0.024","5.039999999999992","199.16","-5.330000000000007","-19.88000000000001"
ANB Metal Cast Ltd,AMCL,"Building Products - Others","602.390302","192.74",,,,,,,,,
Oswal Agro Mills Ltd,OSWALAGRO,"Real Estate","601.908735584","14.81","4","8.83","4.359999999999999","4.68","0.32","0.3199999999999994","4.36","0.2599999999999994","0.2299999999999994"
Sutlej Textiles and Industries Ltd,SUTLEJTEX,"Textiles","599.28509196","2535.83",,,"-18.179999999999918","699.32","-1.11","23.660000000000082","675.66","-3.719999999999917","-20.719999999999917"
Agarwal Industrial Corporation Ltd,AGARIND,"Commodity Chemicals","599.134238395","151.55999999999986","7.86","29.52","2.7900000000000156","412.97","1.87","25.170000000000016","387.8","12.030000000000015","4.640000000000016"
Hindustan Composites Ltd,HINDCOMPOS,"Auto Parts","598.956795","322.47",,,"11.699999999999994","105.25","7.92","16.739999999999995","88.51","13.569999999999995","13.519999999999994"
Emkay Global Financial Services Ltd,EMKAY,"Investment Banking & Brokerage","596.483060166","361.67",,,"5.659999999999993","153.2","2.2","13.289999999999992","139.91","9.599999999999993","9.599999999999993"
Everest Industries Ltd,EVERESTIND,"Building Products - Prefab Structures","595.62139901","236.28999999999985","168.02","197.06","-37.969999999999985","284.8","-23.95","-31.139999999999986","315.94","-40.90999999999998","-47.999999999999986"
Elin Electronics Ltd,ELIN,"Electronic Equipments","595.4170371600001","44.15000000000012","166.44","17.45","3.65999999999997","295.2","0.75","12.46999999999997","282.73","6.46999999999997","4.81999999999997"
Supreme Power Equipment Ltd,SUPREMEPWR,"Power Transmission & Distribution","593.914323275","-8.110000000000007","2.13","4.21","3.3700000000000006","36.03","1.35","5.280000000000001","30.75","5.090000000000001","4.800000000000001"
Davangere Sugar Company Ltd,DAVANGERE,"Sugar","593.4461811699999","2.520000000000005","8.36","8.57","2.6300000000000012","83.31","0.01","14.030000000000001","69.28","10.860000000000001","4.530000000000001"
Transindia Real Estate Ltd,TREL,"Logistics","592.863299412","40.54",,,"9.860000000000003","25.25","0.4","16.240000000000002","9.01","11.930000000000003","11.520000000000003"
RDB Infrastructure and Power Ltd,RDBIPL,"Real Estate","592.015371","98.00999999999999","1.78","1.25","2.3699999999999997","23.41","0.13","3.289999999999999","20.12","3.2799999999999994","3.1899999999999995"
Hemant Surgical Industries Ltd,HSIL,"Health Care Equipment & Supplies","590.444624","208.58",,,,,,,,,
Subam Papers Ltd,SUBAM,"Packaging","588.056378","86.91000000000003","22","19.83","0.12999999999998074","146.14","0.06","8.98999999999998","137.15","4.699999999999981","0.1599999999999806"
Premier Polyfilm Ltd,PREMIERPOL,"Home Furnishing","585.196207825","250.64",,,"8.579999999999998","80.97","0.82","13.079999999999998","67.89","11.899999999999999","11.669999999999998"
Onward Technologies Ltd,ONWARDTEC,"Outsourced services","583.860471946","475.16",,,"9.55999999999999","139.04","4.26","17.22999999999999","121.81","12.86999999999999","12.15999999999999"
Chemfab Alkalis Ltd,CHEMFAB,"Commodity Chemicals","583.78790673","283.8",,,"0.4899999999999929","77.58","0.34","11.319999999999993","66.26","3.369999999999993","1.2299999999999929"
Linc Ltd,LINC,"Stationery","582.815339708","18.13999999999998","79.42","55.65","6.7799999999999905","131.51","1.15","15.11999999999999","116.39","11.24999999999999","10.46999999999999"
Sharat Industries Ltd,SHINDL,"Agro Products","581.354236075","5.8099999999999685","8.32","35.92","4.730000000000007","144.21","1.21","11.180000000000007","133.03","9.930000000000007","6.680000000000007"
Concord Enviro Systems Ltd,CEWATER,"Environmental Services","578.977118175","82.05999999999996","85.3","48.51","-8.16000000000001","128.67","-3.96","1.6999999999999886","126.97","-2.5500000000000114","-8.560000000000011"
Azad India Mobility Ltd,AZADIND,"Commodities Trading","578.45851125","-8.329999999999998","0.47","1","0.6500000000000012","29.14","0.12","0.6900000000000013","28.45","0.6500000000000012","0.6500000000000012"
Chandan Healthcare Ltd,CHANDAN,"Pharmaceuticals","577.55775168","20.120000000000015","38.86","31.59","4.539999999999995","65.77","1.86","10.379999999999995","55.39","7.979999999999995","6.699999999999995"
ABS Marine Services Ltd,ABSMARINE,"Shipbuilding","576.06575","112.21999999999997","0","17.43",,,,,,,
Shree Rama Multi-Tech Ltd,SHREERAMA,"Plastic Products","574.17935751","199.22",,,"4.7200000000000015","62.59","0.33","9.030000000000001","53.56","6.650000000000001","6.3900000000000015"
Euro India Fresh Foods Ltd,EIFFL,"FMCG - Foods","573.8472","10.03999999999999","6.23","12.45","0.899999999999999","28.68","0.36","3.219999999999999","25.46","2.319999999999999","0.899999999999999"
Focus Lighting and Fixtures Ltd,FOCUS,"Home Electronics & Appliances","573.279776124","8.510000000000016","25.32","20.43","-1.3900000000000041","38.51","-0.22","1.9499999999999957","36.56","-0.5800000000000041","-0.9700000000000041"
Artson Ltd,ARTSON,"Construction & Engineering","572.9984","169.09",,,"3.3499999999999983","38.79","0.91","5.579999999999998","33.21","4.969999999999998","3.2899999999999983"
Rajapalayam Mills Ltd,RAJPALAYAM,"Textiles","572.758824","109.19999999999996","120.04","38.03","59.53000000000003","247.18","64.68","31.700000000000017","215.48","12.680000000000017","-10.539999999999981"
Panache Digilife Ltd,PANACHE,"Technology Hardware","572.58057","219.43",,,"9.57999999999999","101.49","6.5","14.259999999999991","87.23","13.87999999999999","13.21999999999999"
Mercury Ev-Tech Ltd,MERCURYEV,"Commodities Trading","570.489093174","1.200000000000003","6.29","3.43","0.9000000000000001","25.31","0.05","2.41","22.9","1.4100000000000001","1.2100000000000002"
Urja Global Ltd,URJA,"Renewable Energy Equipment & Services","568.540553914","-1.1900000000000077","4.48","6.5","0.24999999999999978","14.76","0.01","0.5099999999999998","14.25","0.3799999999999998","0.24999999999999978"
Subex Ltd,SUBEXLTD,"Software Services","566.507269468","257.98",,,"9.929999999999996","80.47","0.18","16.509999999999998","63.96","13.599999999999998","12.799999999999997"
Vashu Bhagnani Industries Ltd,POOJAENT,"Movies & TV Serials","561.8314975","13.34",,,"-2.3199999999999994","5.03","-0.36","-2.3499999999999996","7.38","-2.3599999999999994","-2.369999999999999"
India Finsec Ltd,IFINSEC,"Diversified Financials","561.35667945","53.599999999999994",,,"4.1000000000000005","25.45","7.42","8.66","16.79","7.73","7.73"
SoftTech Engineers Ltd,SOFTTECH,"Software Services","560.39895693","2.169999999999991","27.48","24.72","1.4100000000000013","33.25","1.02","8.600000000000001","24.65","2.9400000000000013","1.9200000000000013"
Modison Ltd,MODISONLTD,"Electrical Components & Equipments","558.7241","-0.8099999999999739","24.89","5.05","20.06","156.35","6.18","31.58","124.77","29.15","27.049999999999997"
EFFWA Infra & Research Ltd,EFFWA,"Environmental Services","557.1523096899999","211.19",,,,,,,,,
Shri Venkatesh Refineries Ltd,SVRL,"Wood Products","557.07527568","34.470000000000034","0.32","0.89","3.609999999999996","143.68","1.63","7.909999999999997","135.77","7.669999999999996","4.849999999999996"
Primo Chemicals Ltd,PRIMO,"Specialty Chemicals","555.69300346","493.6",,,"6.070000000000006","150.52","0.25","24.680000000000007","125.84","11.700000000000006","7.8200000000000065"
Modi Naturals Ltd,MODINATUR,"Agro Products","555.54207475","645.69",,,"19.679999999999986","248.14","15","29.519999999999982","218.62","27.529999999999983","26.079999999999984"
NBI Industrial Finance Company Ltd,NBIFIN,"Diversified Financials","554.388957","3.1599999999999997",,,"0.2600000000000001","1.33","0.88","0.3600000000000001","0.97","0.3600000000000001","0.3600000000000001"
Aptech Ltd,APTECHT,"Education Services","553.34687418","474.52",,,"1.7899999999999996","114.95","0.31","6.859999999999999","108.09","4.93","4.609999999999999"
Proventus Agrocom Ltd,PROV,"Packaged Foods & Meats","551.8558768","906.54",,,"2.739999999999991","140.03","8.28","4.009999999999991","136.02","3.909999999999991","3.3299999999999907"
Triton Valves Ltd,TRITONV,"Auto Parts","547.78384006","43.47999999999999","28.08","10.16","2.6299999999999906","152.97","5.1575128937822345","10.009999999999991","142.96","6.94999999999999","3.6099999999999905"
POCL Enterprises Ltd,POEL,"Commodity Chemicals","545.021160345","-5.360000000000003","22.99","21.52","9.09000000000001","366.2","3.04","17.74000000000001","348.46","16.41000000000001","11.83000000000001"
Peninsula Land Ltd,PENINLAND,"Real Estate","544.6977372399999","186.44","30.3","50.51","-11.920000000000002","31.13","-0.36","0.759999999999998","30.37","-0.3700000000000019","-11.850000000000001"
Empire Industries Ltd,EMPIND,"Packaging","543.7198187600001","115.98000000000003","120.53","63.43","10.57999999999999","193.42","17.64","22.00999999999999","171.41","17.93999999999999","11.97999999999999"
Khaitan Chemicals and Fertilizers Ltd,KHAICHEM,"Fertilizers & Agro Chemicals","543.13952","892.79",,,"1.2600000000000007","193.53","0.13","14.030000000000001","179.5","11.64","4.140000000000001"
Indo SMC Ltd,INDOSMC,"Electrical Components & Equipments","538.929153","262.85",,,"8.830000000000005","96.29","3.86","13.400000000000006","82.89","13.000000000000005","11.900000000000006"
ZIM Laboratories Ltd,ZIMLAB,"Pharmaceuticals","538.7033122199999","344.39",,,"3.749999999999999","111.44","0.76","13.36","98.08","8.26","4.949999999999999"
Goel Construction Company Ltd,GOELCONS,"Construction & Engineering","536.80264","584.02",,,,,,,,,
Shri Jagdamba Polymers Ltd,SHRJAGP,"Textiles","536.12097","386.74",,,"8.740000000000013","123.12","9.98","24.13000000000001","98.99","21.23000000000001","12.780000000000012"
Munjal Showa Ltd,MUNJALSHOW,"Auto Parts","535.413065","60.44000000000004","119.36","51.92","10.909999999999975","356.94","2.73","17.339999999999975","339.6","14.809999999999976","14.809999999999976"
Manba Finance Ltd,MANBA,"Diversified Financials","535.0999559100001","263.98",,,"11.140000000000011","93.42","2.21","18.13000000000001","75.28999999999999","16.95000000000001","16.95000000000001"
Uday Jewellery Industries Ltd,UDAYJEW,"Precious Metals, Jewellery & Watches","534.6309225","-1.9800000000000235","4.62","2.81","4.330000000000009","184.47","1.81","7.490000000000009","176.98","7.270000000000009","5.850000000000009"
True Green Bio Energy Ltd,TRUEGREEN,"Textiles","533.9057166","1.6900000000000015","1.33","1.11","2.19","84.32","0.17","15.61","68.71","7.5","1.04"
Parth Electricals & Engineering Ltd,PARTH,"Electrical Components & Equipments","533.3236041","177.16",,,,,,,,,
Onmobile Global Ltd,ONMOBILE,"Software Services","533.0952539140001","538.57",,,"-36.55","140.52","-3.43","-28.75","169.27","-38.36","-40.18"
BMW Ventures Ltd,BMWVENTLTD,"Building Products - Pipes","530.435655","33.56000000000006","20.62","82.52","11.490000000000016","564.85","1.61","23.480000000000018","541.37","21.770000000000017","15.330000000000016"
Entertainment Network (India) Ltd,ENIL,"Radio","529.3322881600001","529.91",,,"8.249999999999996","153.48","1.73","20.409999999999997","133.07","-1.0900000000000034","-4.760000000000003"
DCM Shriram International Ltd,DCMSIL,"Conglomerates","525.867758325","486.84",,,"3.8900000000000117","121.29","0.45","10.440000000000012","110.85","6.820000000000012","5.330000000000012"
Piramal Finance Ltd,PIRAMALFIN,"Home Financing","524.0794","11180.01",,,"501.7700000000002","4801.09","22.14","1149.7600000000002","3651.33","504.7600000000002","504.7600000000002"
RNIT AI Solutions Ltd,RNITAI,"Software Services","523.198567134","30.82",,,"4.350000000000001","18.25","0.54","7.710000000000001","10.54","6.710000000000001","6.450000000000001"
Lakshmi Mills Company Ltd,LAKSHMIMIL,"Textiles","521.6625","214.09",,,"1.9400000000000002","67.25","27.6","8.5","58.75","4.95","2.74"
Global Education Ltd,GLOBAL,"Education Services","521.027754","5.750000000000002","10.24","3.59","6.6800000000000015","29.3","1.31","10.14","19.16","8.940000000000001","8.940000000000001"
W S Industries (India) Ltd,WSI,"Industrial Machinery","520.869567434","82.43",,,"2.659999999999999","22.84","0.39","5.629999999999999","17.21","5.189999999999999","3.0399999999999987"
Lokesh Machines Ltd,LOKESHMACH,"Industrial Machinery","519.641188","-9.510000000000009","53.16","13.75","0.6299999999999977","50.89","0.31","9.689999999999998","41.2","5.689999999999998","0.9399999999999977"
Tirupati Forge Ltd,TIRUPATIFL,"Auto Parts","519.43626","146.62",,,"1.5200000000000022","43.04","0.12","4.990000000000002","38.05","2.870000000000002","2.070000000000002"
Vinyl Chemicals (India) Ltd,VINYLINDIA,"Specialty Chemicals","519.30698352","43.79999999999998","6.51","1.54","4.649999999999997","183.19","2.53","6.189999999999998","177","6.1599999999999975","6.129999999999997"
Namo eWaste Management Ltd,NAMOEWASTE,"Environmental Services","517.606202025","-6.220000000000015","4","5.56","3.839999999999998","47.35","2.28","5.579999999999998","41.77","5.329999999999998","5.079999999999998"
Nile Ltd,NILE,"Metals - Diversified","517.0622655","101.74000000000004","14.39","9.48","14.930000000000023","291.63","48.82","21.850000000000023","269.78","20.870000000000022","20.490000000000023"
Speciality Restaurants Ltd,SPECIALITY,"Restaurants & Cafes","517.038007383","396.71",,,"3.319999999999999","120.22","0.69","21.33","98.89","6.639999999999999","3.139999999999999"
