Name,Ticker,"Sub-Sector","Market Cap","EV / Free Cash Flow","Enterprise Value","Price / CFO","PB Premium vs Sub-sector","Dividend Yield vs Sub-sector","Price / Sales","Sector PB","Sector Dividend Yield","Sector PE","TTM PE Ratio"
Nahar Capital and Financial Services Ltd,NAHARCAP,"Asset Management","416.81209663000004",,"421.23209663000006",,"-92.66419918238982","-0.6306101635321424","5.992984854493171","2.291066253952224","1.0648908826242334","15.782900266071515","6.298158002870958"
Singer India Ltd,SINGERIND,"Home Electronics & Appliances","416.059235379",,"353.169235379",,"-70.8475614687607",,"0.9485642136222697","5.599852449734864","0.6843999547954118","24.52159967199169","38.13558527763497"
Shalimar Paints Ltd,SHALPAINTS,"Specialty Chemicals","415.709709948",,"534.0997099479999",,"-70.46391148969056",,"0.6827224666579077","3.3971619560814212","2.147340135276208","23.8500931581181","-6.197222867441863"
Valiant Laboratories Ltd,VALIANTLAB,"Pharmaceuticals","415.707875",,"461.397875","317.3342557251908","-69.03620308051605",,"1.7336330747737605","6.347180737078195","0.48032722824004936","43.622095468751965","-127.12779051987724"
Saakshi Medtech and Panels Ltd,SAAKSHI,"Electrical Components & Equipments","413.94492",,"428.51492","137.06785430463577","-53.43636333560826",,"4.451020645161291","6.806753889542422","0.5875072100804868","40.633213495947615",
Rubfila International Ltd,RUBFILA,"Commodity Chemicals","412.487487929","20.151260994459687","367.357487929","16.239664879094487","-88.42286181692126","2.138587488050652","0.7411641354242283","3.3971619560814212","2.147340135276208","23.8500931581181","14.47324519049126"
GEE Ltd,GEE,"Industrial Machinery","411.70927837199997","40.626185911295686","489.139278372","29.92073243982558","-80.06796030042048",,"1.1117062115137442","6.806753889542422","0.5875072100804868","40.633213495947615","31.694324739953696"
Yaap Digital Ltd,YAAP,"Advertising","409.65881",,"381.01881000000003",,"167.13454216484658",,"2.653402487207721","8.560593958157467","1.1816713015722953","31.760915159046945",
Nimbus Projects Ltd,NIMBSPROJ,"Real Estate","409.151488565",,"602.2314885650001",,"-64.24459250355613",,"1.353596084841367","3.4004118686297864","0.9697276054688574","37.252414014016885","-2.464768003403615"
Solarium Green Energy Ltd,SOLARIUM,"Renewable Energy","408.8433",,"399.8233",,"-31.08251039592775",,"1.7691951187848889","3.339096192839704","1.2719239646781941","25.412372557238267",
KD Green Industries Ltd,MANBRO,"FMCG - Foods","408.741983","851.8999645833334","408.911983","817.483966","-28.78355220753866",,"138.08850777027027","8.190568262110702","1.6836677726443445","30.846384996929732",
Shera Energy Ltd,SHERA,"Metals - Diversified","408.62588184000003",,"569.5358818399999",,"-20.766344009602268",,"0.24814382554517136","3.3971619560814212","2.147340135276208","23.8500931581181","13.898839518367332"
Gokul Refoils and Solvent Ltd,GOKUL,"Packaged Foods & Meats","406.968445","83.33764518317503","614.198445","23.841150849443466","-71.06297217883649",,"0.114781262691787","8.190568262110702","1.6836677726443445","30.846384996929732","21.141217922078287"
Mirza International Ltd,MIRZAINT,"Footwear","406.1753841",,"434.11538409999997","14.382981023371105","-91.2492131041608",,"0.696997656113256","5.599852449734864","0.6843999547954118","24.52159967199169","49.1737753147699"
Foods and Inns Ltd,FOODSIN,"FMCG - Foods","406.114794834",,"838.524794834","26.647952416929133","-95.37848230136171","-0.36803927336856257","0.40424717289522405","8.190568262110702","1.6836677726443445","30.846384996929732","13.049961273586101"
Artemis Electricals and Projects Ltd,AEPL,"Electrical Components & Equipments","405.1735566","35.387069390243916","406.24355660000003","9.836697174071377","-48.01277699616711",,"5.555650028794735","6.806753889542422","0.5875072100804868","40.633213495947615","42.560247542016754"
Forbes & Company Ltd,FORBESCO,"Conglomerates","405.13917676",,"348.10917675999997",,"-78.4524943729159",,"4.487585032786885","6.806753889542422","0.5875072100804868","40.633213495947615","30.211720862043226"
Liberty Shoes Ltd,LIBERTSHOE,"Footwear","405.126","7.459275167785234","555.7159999999999","5.43793288590604","-77.86738466034687",,"0.5994939181390393","5.599852449734864","0.6843999547954118","24.52159967199169","35.289721254355264"
Mahamaya Lifesciences Ltd,MAHALIFE,"Fertilizers & Agro Chemicals","404.9065",,"459.0365","778.6663461538461","214.7850420349629",,"1.5155387955234496","3.3971619560814212","2.147340135276208","23.8500931581181",
Patil Automation Ltd,PATILAUTOM,"Industrial Machinery","404.77584","1628.30336","407.07584","642.5013333333334","-29.355973715604986",,"2.342588344232884","6.806753889542422","0.5875072100804868","40.633213495947615",
Albert David Ltd,ALBERTDAVD,"Pharmaceuticals","404.26682027",,"172.68682026999997",,"-82.0238664788125","0.10489817872439477","1.1853593909104236","6.347180737078195","0.48032722824004936","43.622095468751965","-273.1532569391801"
Sigma Solve Ltd,SIGMA,"IT Services & Consulting","403.70012144000003","22.19484118135879","395.29012144000006","22.415331562465298","55.155079567121135",,"4.0289433277445115","5.823616002155781","3.217780581074618","21.61194022660079","16.905365219430486"
SK Minerals & Additives Ltd,SKM,"Specialty Chemicals","403.5528",,"440.5928",,"281.70813471278404",,"1.9022050436012257","3.3971619560814212","2.147340135276208","23.8500931581181",
Mawana Sugars Ltd,MAWANASUG,"Sugar","402.9036992","9.23492890070512","798.9136992","3.5416991842475385","-50.67171885848834","3.5037411072394633","0.2653597697470247","8.190568262110702","1.6836677726443445","30.846384996929732","11.213573593097761"
Vishal Fabrics Ltd,VISHAL,"Textiles","402.72918611399996","7.0553006512640595","683.729186114","3.743184181745515","-70.2741139844816",,"0.26380793011528886","5.599852449734864","0.6843999547954118","24.52159967199169","11.827582558414091"
Nikhil Adhesives Ltd,NIKHILAD,"Commodity Chemicals","401.725592",,"455.215592","58.22110028985507","-74.45599207283918","-0.2398722023329219","0.686522646797457","3.3971619560814212","2.147340135276208","23.8500931581181","26.377254891661245"
Asgard Alcobev Ltd,ASGARD,"Alcoholic Beverages","401.170012",,"410.490012",,"124.62257359438573",,"6.887038832618026","8.190568262110702","1.6836677726443445","30.846384996929732","213.38830425531876"
Dreamfolks Services Ltd,DREAMFOLKS,"Logistics","401.015521136","4.677620949208044","262.835521136","6.983899706304424","-64.00340968288037",,"0.30836910671465045","6.806753889542422","0.5875072100804868","40.633213495947615","10.124097983741509"
Coastal Corporation Ltd,COASTCORP,"Packaged Foods & Meats","399.58615418","1616.4386259148944","759.72615418","81.71495995501023","-62.70490037835829","-0.1594105882033297","0.6250076708116308","8.190568262110702","1.6836677726443445","30.846384996929732","25.763130508059255"
Tolins Tyres Ltd,TOLINS,"Tires & Rubber","399.197228424",,"360.387228424",,"-54.25665950696356",,"1.3531650738076675","5.599852449734864","0.6843999547954118","24.52159967199169","11.082654870183228"
Purple Finance Ltd,PURPLEFIN,"Consumer Finance","397.974127848",,"456.15412784800003",,"48.49564465265679",,"8.318857187458194","2.291066253952224","1.0648908826242334","15.782900266071515","-61.60590214365337"
Fabtech Technologies Cleanrooms Ltd,FABCLEAN,"Construction & Engineering","397.79219898",,"369.69219898000006","158.48294780079684","-1.4926406473695115",,"1.7941196057189248","6.806753889542422","0.5875072100804868","40.633213495947615",
Mazda Ltd,MAZDA,"Industrial Machinery","397.7766","42.65107648725211","301.11659999999995","35.93284552845528","-83.78944602062441","1.2064268274316816","1.9816499775818264","6.806753889542422","0.5875072100804868","40.633213495947615","14.864596412556033"
Kanoria Chemicals and Industries Ltd,KANORICHEM,"Specialty Chemicals","397.6093303",,"971.3293302999999","27.08510424386921","-82.5648483570613",,"0.25704785289915505","3.3971619560814212","2.147340135276208","23.8500931581181","7.533333275862042"
Take Solutions Ltd,TAKE,"IT Services & Consulting","396.46312",,"393.03312",,"266.8694712289847",,"8.44436890308839","5.823616002155781","3.217780581074618","21.61194022660079","243.22890797545983"
Shivalik Rasayan Ltd,SHIVALIK,"Fertilizers & Agro Chemicals","396.200431575",,"462.120431575",,"-71.60736580475738","-0.5645835534830896","1.237816894448263","3.3971619560814212","2.147340135276208","23.8500931581181","34.57246348821995"
Raghuvir Synthetics Ltd,RAGHUSYN,"Textiles","395.25","41.73042616451933","421.06","16.503131524008353","298.0667329811092",,"1.173858810252146","5.599852449734864","0.6843999547954118","24.52159967199169","61.4696734059096"
Vraj Iron and Steel Ltd,VRAJ,"Iron & Steel","395.230723477","39.21499160932017","357.640723477","28.97585949244868","-68.1105023605276",,"0.8214805526209679","3.3971619560814212","2.147340135276208","23.8500931581181","14.931270248469984"
CLN Energy Ltd,CLN,"Batteries","394.69155",,"402.71155",,"46.440291387498",,"1.7908777621489178","6.806753889542422","0.5875072100804868","40.633213495947615",
RBM Infracon Ltd,RBMINFRA,"Construction & Engineering","394.112145",,"399.852145",,"-34.04923477571167",,"1.2219394940005581","6.806753889542422","0.5875072100804868","40.633213495947615",
Shreeji Global FMCG Ltd,SHETHJI,"Agro Products","393.8618",,"424.1818",,"301.23080999085937",,"0.6051498809249444","8.190568262110702","1.6836677726443445","30.846384996929732",
Trident Techlabs Ltd,TECHLABS,"IT Services & Consulting","392.79858472","32.67228376085176","398.92858472","24.93959268063492","28.481629319437012",,"5.081482337904269","5.823616002155781","3.217780581074618","21.61194022660079",
