Name,Ticker,"Sub-Sector","Market Cap","PB Premium vs Sector","PB Ratio","Dividend Yield vs Sector","PS Ratio","PS Premium vs Sector","EV/EBITDA Ratio","PE Ratio","Forward PS Ratio","Forward PE Ratio","Dividend Yield","PE Premium vs Sector","EV / EBIT Ratio","PS Premium vs Sub-sector","EV / Revenue Ratio","PE Premium vs Sub-sector","EV / Invested Capital","Price / Free Cash Flow"
Vipul Ltd,VIPULLTD,"Real Estate","127.14545095999999","-90.08270127503982","0.33722900289101654",,"1.2783576408606474","-83.54048074536594",,"-4.495949468175388",,,,"-112.06888086899203",,"-83.54048074536594","1.7262764021717274","-112.06888086899203","0.37172368087639907","3.0615326501324343"
Raja Bahadur International Ltd,RAJABAH,"Real Estate","127.1125","217.06107801318063","10.781382527565741",,"4.15264619405423","-46.53252125696079","16.025246305418722","-132.4088541666658",,,,"-455.43697682744704","17.87431318681319","-46.53252125696079","10.62765436131983","-455.43697682744704","1.4488598405558277",
Excel Realty N Infra Ltd,LANDSMILL,"Business Support Services","126.96255495","-89.23380201646657","0.7328285999999999",,"6.735414055702917","81.5139534038983","133.03426836842112","184.00370282608708",,,,"352.84063699376844","175.53132631944456","37.82434444075997","6.704644824933687","482.6023025436961","0.7255442617257019",
Purv Flexipack Ltd,PURVFLEXI,"Plastic Products","126.84072375","-76.36732620131079","0.8028402034938922",,"0.29049267989648225","-86.52623242250435","7.690757494212962","12.184507564841496",,,,"-48.91211751642936","9.3326045997191","-90.69670781599771","0.7609030866388786","-68.88232369971132","0.9624865255366607",
Godavari Drugs Ltd,GODAVARI,"Pharmaceuticals","126.643574675","-53.97294438676063","2.921420407727797",,"1.1077020438642526","-81.63546585150398","14.724713089383293","28.914058144977176",,,,"-33.71694359412576","18.206908752413128","-79.28637046783422","1.6498169743286974","-20.3754802524674","1.751379523444754",
Meera Industries Ltd,MEERA,"Industrial Machinery","126.629162968","-36.20213161426025","4.342563887791496","-0.16585094426837688","3.152331664625342","-15.047214892162598","21.79037037119476","34.13184985660376",,,"0.4216562658121099","-16.000121772284253","27.508091522314047","-48.87844627532715","3.3143929043564855","-43.237503346389275","3.5627284711800917",
Kaira Can Co Ltd,KAIRA,"Packaging","126.44287695999999","-58.28272829231166","1.4172032835687065",,"0.5424172148770966","-74.84135061203303","15.087247257142845","32.75722201036264",,,,"37.34630633596804","23.46905128888886","-62.25465035077575","0.5436612627514906","84.43615041066214","1.3622796620445017",
Prodocs Solutions Ltd,PRODOCS,"IT Services & Consulting","126.195","12.920929022542575","6.576081292339761",,"2.949859747545582","4.681433649838454","16.373471882640587","24.744117647058825",,,,"14.492809935698569","18.1729986431479","8.69412934940936","3.1307854137447406","32.71138693673365","4.927704194260486","600.9285714285714"
BSL Ltd,BSL,"Textiles","126.08935016800001","-81.11978143630893","1.0572643817541507",,"0.19170381489060861","-91.38432792992826","10.978915315432461","53.2022574548514",,,,"116.960794428181","16.55308169948561","-92.67033497008582","0.8317688871847111","54.96440514103895","1.01209780990861","2.827749499170218"
Accord Transformer & Switchgear Ltd,ACCORDTS,"Electrical Components & Equipments","125.80566223499999","-14.194635400098818","5.840559992339831",,"1.5884553312499998","-57.19241540368878","14.724153589092866","20.72580926441515",,,,"-48.99293587379656","15.388900929458233","-58.515700857210255","1.7215361393308075","-59.528333215420965","4.088325704197901",
